season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,year,month,dayofweek,cnt
1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,2011,1,5,2.833213344056216
1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,2011,1,5,3.713572066704308
1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,2011,1,5,4.672828834461906
1,0,33,20,0,0,0,1,0.3,0.2727,0.39,0.3582,2011,1,6,3.1354942159291497
1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,2011,1,6,3.4657359027997265
1,0,1,4,0,1,1,1,0.16,0.1515,0.47,0.3881,2011,1,0,0.6931471805599453
1,0,1,6,0,2,1,1,0.88,0.1515,0.74,0.1045,2011,1,1,3.6109179126442243
1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2011,1,3,1.0986122886681098
1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,2011,1,3,4.564348191467836
1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,2011,1,4,3.9512437185814275
1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,2011,1,0,4.007333185232471
1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,2011,1,1,3.332204510175204
1,0,1,7,0,0,0,2,0.24,0.2121,0.56,0.2985,2011,1,6,1.3862943611198906
1,0,1,21,0,0,0,1,0.18,0.197,0.51,0.1642,2011,1,6,3.367295829986474
1,0,1,8,1,1,0,2,0.16,0.1515,0.47,0.2239,2011,1,0,3.5263605246161616
1,0,1,17,0,2,1,2,0.22,0.2273,0.82,0.194,2011,1,1,4.836281906951478
1,0,1,20,0,2,1,2,0.22,0.2727,0.87,0.0,2011,1,1,4.430816798843313
1,0,1,22,0,0,0,1,0.14,0.1515,0.38,0.194,2011,1,6,3.367295829986474
1,0,1,15,0,1,1,1,0.16,0.1667,0.4,0.1642,2011,1,0,4.060443010546419
1,0,1,6,0,2,1,1,0.16,0.1818,0.74,0.1045,2011,1,1,3.6109179126442243
1,0,1,17,0,4,1,1,0.22,8.448566000000374,0.55,0.1045,2011,1,3,4.442651256490317
1,0,1,7,0,5,1,2,0.16,0.197,0.86,0.0896,2011,1,4,4.110873864173311
1,0,1,2,0,6,0,1,0.22,0.2273,0.64,0.1642,2011,1,5,2.772588722239781
1,0,1,7,0,0,0,1,0.14,0.2121,0.86,0.0,2011,1,6,1.3862943611198906
1,0,1,13,0,0,0,1,0.28,0.2879,0.61,0.1045,2011,1,6,4.442651256490317
1,0,1,1,0,1,1,1,0.22,0.2121,0.64,0.2537,2011,1,0,2.0794415416798357
1,0,2,18,0,2,1,2,0.24,0.2576,0.81,0.1045,2011,2,1,5.1298987149230735
1,0,2,6,0,4,1,1,0.16,0.1515,0.43,0.3582,2011,2,3,3.6888794541139363
1,0,2,18,0,5,1,2,0.24,0.2576,0.6,0.1045,2011,2,4,5.049856007249537
1,0,2,7,0,6,0,3,0.22,0.2576,0.93,0.0896,2011,2,5,1.6094379124341003
1,0,2,15,0,6,0,3,0.88,0.2727,1.0,0.0,2011,2,5,4.110873864173311
1,0,2,21,0,6,0,1,0.26,0.2576,1.0,0.194,2011,2,5,4.04305126783455
1,0,2,1,0,0,0,1,0.26,0.2273,0.65,0.4179,2011,2,6,3.8066624897703196
1,0,2,5,0,0,0,1,0.26,0.2576,0.6,0.2239,2011,2,6,0.6931471805599453
1,0,2,18,0,0,0,1,0.3,0.303,0.56,0.1642,2011,2,6,4.3694478524670215
1,0,2,14,0,2,1,1,0.22,0.197,0.37,0.4179,2011,2,1,4.174387269895637
1,0,2,0,0,3,1,1,0.14,0.1515,0.36,0.3582,2011,2,2,2.8903717578961645
1,0,2,6,0,3,1,1,0.14,0.1515,0.45,0.0,2011,2,2,3.784189633918261
1,0,2,20,0,3,1,3,0.14,0.1515,0.86,0.1642,2011,2,2,4.442651256490317
1,0,2,0,0,4,1,3,0.14,0.1515,0.86,0.194,2011,2,3,2.833213344056216
1,0,2,0,0,5,1,1,0.14,0.1515,0.49,0.1045,2011,2,4,2.70805020110221
1,0,2,20,0,6,0,1,0.26,0.2576,0.41,0.2239,2011,2,5,3.713572066704308
1,0,2,19,0,0,0,1,0.4,0.4091,0.35,0.2836,2011,2,6,4.127134385045092
1,0,2,0,0,3,1,1,0.22,0.2576,0.41,0.0896,2011,2,2,2.772588722239781
1,0,2,11,0,5,1,1,0.44,0.4394,0.72,0.1642,2011,2,4,4.736198448394496
1,0,2,18,1,1,0,2,0.24,0.2121,0.87,0.3582,2011,2,0,4.204692619390966
1,0,2,18,0,2,1,1,0.22,0.2273,0.47,0.1343,2011,2,1,5.123963979403259
1,0,2,11,0,4,1,2,0.32,8.448566000000374,0.57,0.3881,2011,2,3,4.382026634673881
1,0,3,0,0,2,1,1,0.3,0.2727,0.7,0.4627,2011,3,1,2.0794415416798357
1,0,3,3,0,2,1,1,0.22,0.2121,0.69,0.2836,2011,3,1,1.0986122886681098
1,0,3,19,0,3,1,1,0.4,0.4091,0.28,0.5224,2011,3,2,5.017279836814924
1,0,3,18,0,4,1,1,0.24,0.2121,0.35,0.3284,2011,3,3,5.123963979403259
1,0,3,7,0,5,1,1,0.16,0.1818,0.8,0.1343,2011,3,4,4.430816798843313
1,0,3,11,0,5,1,1,0.28,0.2727,0.52,0.2239,2011,3,4,4.499809670330265
1,0,3,13,0,5,1,1,0.34,0.3182,0.42,0.2239,2011,3,4,4.477336814478207
1,0,3,3,0,6,0,2,0.3,0.2879,0.87,0.194,2011,3,5,1.0986122886681098
1,0,3,7,0,0,0,3,0.42,0.4242,1.0,0.4478,2011,3,6,1.791759469228055
1,0,3,0,0,1,1,3,0.2,0.1818,1.0,0.3284,2011,3,0,1.6094379124341003
1,0,3,9,0,1,1,1,0.22,0.1818,0.64,0.4627,2011,3,0,4.90527477843843
1,0,3,13,0,1,1,1,0.32,0.2879,0.36,0.3881,2011,3,0,4.2626798770413155
1,0,3,15,0,1,1,1,0.34,0.303,0.31,0.3881,2011,3,0,4.574710978503383
1,0,3,7,0,4,1,3,0.38,0.3939,0.23170000000000002,0.2239,2011,3,3,3.6375861597263857
1,0,3,16,0,4,1,3,0.42,0.4242,0.23170000000000002,0.2537,2011,3,3,3.091042453358316
1,0,3,9,0,5,1,2,0.3,0.2879,0.61,0.2836,2011,3,4,5.056245805348308
1,0,3,15,0,5,1,2,0.34,0.3182,0.53,0.2537,2011,3,4,4.454347296253507
1,0,3,18,0,6,0,1,0.42,0.4242,0.54,0.1642,2011,3,5,4.983606621708336
1,0,3,14,0,0,0,1,0.46,0.4545,0.41,0.2985,2011,3,6,5.5254529391317835
1,0,3,13,0,1,1,1,0.38,0.3939,0.36,0.3284,2011,3,0,4.330733340286331
1,0,3,0,0,2,1,1,0.32,0.3485,0.53,0.0,2011,3,1,2.70805020110221
1,0,3,4,0,3,1,2,0.3,8.448566000000374,0.93,0.1642,2011,3,2,0.6931471805599453
1,0,3,3,0,4,1,1,0.34,0.3333,0.66,0.1642,2011,3,3,1.0986122886681098
2,0,3,8,0,1,1,2,0.3,0.2727,0.87,0.4179,2011,3,0,4.59511985013459
2,0,3,7,0,2,1,2,0.4,0.4091,0.76,0.1045,2011,3,1,4.919980925828125
2,0,3,7,0,0,0,3,0.16,0.1667,0.86,0.1642,2011,3,6,2.0794415416798357
2,0,3,14,0,1,1,1,0.32,0.303,0.23170000000000002,0.2239,2011,3,0,4.394449154672439
2,0,3,4,0,2,1,1,0.2,0.2121,0.44,0.1642,2011,3,1,1.0986122886681098
2,0,3,8,0,2,1,1,0.24,0.2121,0.35,0.3582,2011,3,1,5.662960480135946
2,0,3,12,0,2,1,1,0.34,0.3333,0.25,0.1642,2011,3,1,4.672828834461906
2,0,3,9,0,3,1,2,0.32,0.303,0.45,0.2239,2011,3,2,5.043425116919247
2,0,3,10,0,3,1,2,0.34,0.3182,0.46,0.2239,2011,3,2,4.174387269895637
2,0,3,17,0,4,1,2,0.3,0.2879,0.87,0.2537,2011,3,3,5.1298987149230735
2,0,3,18,0,4,1,2,0.3,0.303,0.87,0.1343,2011,3,3,5.181783550292085
2,0,4,19,0,5,1,1,0.34,0.303,0.49,0.3284,2011,4,4,4.919980925828125
2,0,4,8,0,6,0,1,0.3,0.3182,0.7,0.1045,2011,4,5,4.02535169073515
2,0,4,13,0,6,0,1,0.34,0.3333,0.81,0.1343,2011,4,5,4.927253685157205
2,0,4,18,0,1,1,2,0.72,0.6364,0.23170000000000002,0.4925,2011,4,0,5.958424693029782
2,0,4,21,0,2,1,1,0.34,0.2879,0.46,0.5224,2011,4,1,4.499809670330265
2,0,4,1,0,4,1,1,0.42,0.4242,0.47,0.1343,2011,4,3,2.6390573296152584
2,0,4,5,0,5,1,2,0.32,0.3182,0.87,0.194,2011,4,4,2.302585092994046
2,0,4,1,0,0,0,2,0.38,0.3939,0.87,0.1343,2011,4,6,3.6375861597263857
2,0,4,19,0,1,301,1,0.72,0.6667,0.51,0.4478,2011,4,0,5.652489180268651
2,0,4,7,0,2,1,2,0.54,0.5152,0.68,0.2239,2011,4,1,5.247024072160486
2,0,4,18,0,2,1,3,0.44,0.4394,0.77,0.2239,2011,4,1,5.41610040220442
2,0,4,13,1,5,0,1,0.54,0.5152,0.52,0.2537,2011,4,4,5.198497031265826
2,0,4,2,0,6,0,2,0.36,0.3485,0.87,0.1343,2011,4,5,3.2188758248682006
2,0,4,0,0,0,0,2,0.44,0.4394,0.77,0.2836,2011,4,6,3.5263605246161616
2,0,4,19,0,1,1,1,0.56,0.5303,0.46,0.2537,2011,4,0,5.659482215759621
2,0,4,19,0,216,1,1,0.7,0.6364,0.32,0.2537,2011,4,2,5.950642552587727
2,0,4,5,0,4,1,2,0.42,0.4242,0.54,0.5522,2011,4,3,2.70805020110221
2,0,4,9,0,4,1,2,0.42,0.4242,0.47,0.2836,2011,4,3,5.2832037287379885
2,0,844,0,0,0,0,1,0.52,0.5,0.83,0.5770170000000012,2011,4,6,4.574710978503383
2,0,4,9,0,0,0,1,0.56,0.5303,0.88,0.2537,2011,4,6,5.181783550292085
2,0,4,18,0,4,1,1,0.64,0.6212,0.47,0.3582,2011,4,3,6.274762021241939
2,0,4,0,0,5,1,1,0.52,0.5,0.39,0.2836,2011,4,4,3.8918202981106265
2,0,4,2,0,5,1,1,0.46,0.4545,0.63,0.1045,2011,4,4,2.3978952727983707
2,0,4,6,0,5,1,1,0.5,0.4848,0.45,0.2836,2011,4,4,4.276666119016055
2,0,4,19,0,5,1,1,0.46,0.4545,0.55,0.3284,2011,4,4,9.490317840042412
2,0,4,3,0,6,0,2,0.42,0.4242,0.54,0.194,2011,4,5,2.8903717578961645
84,0,5,4,0,0,0,1,0.4,0.4091,0.76,0.1045,2011,5,6,2.8903717578961645
2,0,5,20,0,0,0,2,0.46,0.4545,0.82,0.0,2011,5,6,4.804021044733257
2,0,5,3,0,1,1,1,0.44,0.4394,0.77,0.1343,2011,5,0,2.833213344056216
2,0,5,20,0,1,1,2,0.62,0.6061,0.69,0.1343,2011,5,0,5.389071729816501
2,0,5,17,0,2,1,1,0.7,0.6515,0.54,0.4627,2011,5,1,6.249975242259483
2,0,5,20,0,2,1,1,0.66,0.6212,0.61,0.194,2011,5,1,5.673323267171493
2,0,5,8,0,3,1,3,0.34,0.303,0.93,0.3881,2011,5,2,4.382026634673881
2,0,5,11,0,3,1,1,0.4,0.4091,0.82,0.3284,2011,5,2,4.290459441148391
2,0,5,8,0,6,0,1,0.52,0.5,0.52,0.194,2011,5,5,4.7535901911063645
2,0,5,7,0,3,1,1,0.48,0.4697,0.72,0.194,2011,5,2,5.765191102784844
2,0,5,6,0,4,1,1,0.44,0.4394,0.88,0.0,2011,5,3,4.727387818712341
2,0,5,3,0,6,0,2,0.5,0.4848,0.88,0.1343,2011,5,5,3.58351893845611
2,0,5,4,0,6,0,2,0.5,0.4848,0.82,0.1642,2011,5,5,1.791759469228055
2,0,5,1,0,0,0,2,0.52,0.5,1.0,0.1045,2011,5,6,3.871201010907891
2,0,5,7,0,0,0,2,0.52,0.5,1.0,0.1343,2011,5,6,3.7612001156935624
2,0,5,18,0,0,0,1,0.56,0.5303,0.78,0.2537,2011,5,6,5.472270673671475
